CONTROL,JAMMORT,JHELOCADD,JHELOCBAL,JHELOCLIM,JINTRATE,JLOANTYPE,JMISCPMT,JMORTADDTN,JMORTCLASS,JMORTLINE,JMORTTYPE,JPMTAMT,JPMTFREQ,JPMTONLY,JREFI,JREFICSH,JREFICSHAMT,JTAXPMT,AMMORT,REFI,MORTCLASS,MORTTYPE,TAXPMT,PMTONLY,MORTLINE,REFICSHAMT,MORTADDTN,HELOCLIM,REFICSH,HELOCBAL,HELOCADD,PMTFREQ,LOANTYPE,MISCPMT,PMTAMT,INTRATE
'11007867','2','0','0','0','2','0','1','0','0','0','0','0','0','2','0','0','0','1',461938,'1','1','1','1',2658,1,-6,-6,-6,'2','-6','-6','1','1','1',1605,4.316
'11007867','0','0','0','0','2','0','1','0','0','0','0','0','0','2','0','0','0','1',84156,'-6','2','1','2',540,2,-6,-6,-6,'-6','-6','-6','1','2','2',297,3.916
'11007877','2','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',46667,'2','1','1','2',268,1,-6,-6,-6,'-6','-6','-6','1','1','2',1029,5.973
'11007878','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',252475,'1','1','1','2',2006,1,91300,0,-6,'1','-6','-6','1','1','2',2394,1.667
'11007886','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',260501,'2','1','1','1',1491,1,-6,-6,-6,'-6','-6','-6','1','1','1',2517,3.792
'11007889','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',319073,'2','1','1','2',1476,1,-6,-6,-6,'-6','-6','-6','1','1','1',1598,3.876
'11007894','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',1392423,'2','1','2','2',6540,1,-6,-6,-6,'-6','-6','-6','1','1','2',5809,2.189
'11007896','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',3573867,'-9','1','1','-9',14493,1,-6,-6,-6,'-6','-6','-6','-9','1','2',16198,2.346
'11007900','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',191499,'1','1','1','1',685,1,-6,-6,-6,'2','-6','-6','1','1','1',989,1
'11007906','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',243366,'1','1','1','1',1158,1,126427,0,-6,'1','-6','-6','1','1','1',1805,2.994
