CONTROL,JAMMORT,JHELOCADD,JHELOCBAL,JHELOCLIM,JINTRATE,JLOANTYPE,JMISCPMT,JMORTADDTN,JMORTCLASS,JMORTLINE,JMORTTYPE,JPMTAMT,JPMTFREQ,JPMTONLY,JREFI,JREFICSH,JREFICSHAMT,JTAXPMT,AMMORT,REFI,MORTCLASS,MORTTYPE,TAXPMT,PMTONLY,MORTLINE,REFICSHAMT,MORTADDTN,HELOCLIM,REFICSH,HELOCBAL,HELOCADD,PMTFREQ,LOANTYPE,MISCPMT,PMTAMT,INTRATE
'11000055','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',162517,'1','1','1','1',957,1,-6,-6,-6,'2','-6','-6','1','1','1',1607,3.345
'11000068','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',221277,'-9','1','1','-9',1036,1,-6,-6,-6,'-6','-6','-6','-9','1','2',987,3.967
'11000078','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',189572,'2','1','1','1',870,1,-6,-6,-6,'-6','-6','-6','1','1','1',1612,3.128
'11000089','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',303400,'1','1','1','1',1989,1,-6,-6,-6,'2','-6','-6','1','1','1',1883,2.483
'11000126','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',566118,'2','1','1','1',2224,1,-6,-6,-6,'-6','-6','-6','1','1','1',2316,2.649
'11000132','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',250020,'1','1','1','1',2364,1,-6,-6,-6,'2','-6','-6','1','1','1',1491,5.654
'11000135','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',1167908,'2','1','1','1',5221,1,-6,-6,-6,'-6','-6','-6','1','1','1',6766,2.777
'11000161','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',424814,'2','1','1','1',1649,1,-6,-6,-6,'-6','-6','-6','1','1','1',3025,2.246
'11000168','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',59551,'2','1','1','2',461,1,-6,-6,-6,'-6','-6','-6','1','1','2',445,3.95
'11000170','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',216715,'1','1','1','1',1263,1,-6,-6,-6,'2','-6','-6','1','1','1',1560,4.165
'11000171','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',157582,'2','1','1','1',698,1,-6,-6,-6,'-6','-6','-6','1','1','2',549,1.804
'11000180','2','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',242758,'2','1','1','2',1174,1,-6,-6,-6,'-6','-6','-6','1','1','1',292,3.897
'11000192','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',463239,'2','1','1','1',2591,1,-6,-6,-6,'-6','-6','-6','1','1','2',2770,4.708
'11000203','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0',111890,'2','1','1','1',555,1,-6,-6,-6,'-6','-6','-6','1','1','1',707,4.64
'11000212','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',190584,'-9','1','1','-9',1372,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1449,3.5
'11000235','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',325699,'2','1','1','1',2501,1,-6,-6,-6,'-6','-6','-6','1','1','1',1478,3.39
'11000252','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',245468,'1','1','1','1',1356,1,-6,-6,-6,'2','-6','-6','1','1','1',1764,4.694
'11000254','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0',276682,'2','1','1','1',1265,1,-6,-6,-6,'-6','-6','-6','1','1','1',1713,5.036
'11000257','2','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',89076,'2','1','1','1',528,1,-6,-6,-6,'-6','-6','-6','1','1','1',993,2.215
'11000266','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',200718,'2','1','1','1',1021,1,-6,-6,-6,'-6','-6','-6','1','1','2',2518,4.659
'11000267','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',163475,'-9','1','1','-9',1080,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1087,2.945
'11000284','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',713696,'1','1','1','1',3231,1,-6,-6,-6,'2','-6','-6','1','1','1',2578,3.484
'11000287','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0',227470,'2','1','1','1',1166,1,-6,-6,-6,'-6','-6','-6','1','1','1',4099,4.334
'11000312','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',-6,'-6','3','-6','-6',-6,1,-6,-6,147224,'-6','1','1','-6','3','2',98,4.17
'11000312','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',-6,'-6','3','-6','-6',-6,2,-6,-6,13504,'-6','1','2','-6','3','2',268,6.753
'11000323','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',194877,'1','1','1','1',915,1,-6,-6,-6,'2','-6','-6','1','1','2',1198,3.644
'11000329','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',223407,'2','1','1','2',891,1,-6,-6,-6,'-6','-6','-6','1','1','2',2606,4.189
'11000337','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',232240,'1','1','1','1',1337,1,-6,-6,-6,'2','-6','-6','1','1','1',1668,6.542
'11000356','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',44662,'2','1','1','-9',215,1,-6,-6,-6,'-6','-6','-6','1','1','2',218,5.122
'11000359','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',101820,'2','1','1','1',497,1,-6,-6,-6,'-6','-6','-6','1','1','1',699,4.398
'11000368','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',231285,'-9','1','1','1',875,1,-6,-6,-6,'-6','-6','-6','1','1','1',1161,2.672
'11000370','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',133698,'2','1','2','1',503,1,-6,-6,-6,'-6','-6','-6','1','1','1',1061,1.898
'11000371','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',1000,'-6','2','1','2',8,1,-6,-6,-6,'-6','-6','-6','1','1','2',851,5.791
'11000373','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',131232,'1','1','1','1',688,1,106295,0,-6,'1','-6','-6','1','1','1',998,3.9
'11000380','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',62607,'1','1','1','1',509,1,-6,-6,-6,'2','-6','-6','1','1','2',840,4.354
'11000382','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',133641,'1','1','1','1',845,1,2616,0,-6,'1','-6','-6','1','1','1',1453,6.959
'11000400','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',94751,'2','1','1','1',415,1,-6,-6,-6,'-6','-6','-6','1','1','1',512,2.97
'11000402','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',255174,'1','1','1','1',1121,1,-6,-6,-6,'2','-6','-6','1','1','1',1391,2.19
'11000404','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',244740,'1','1','1','1',1112,1,8234,45,-6,'1','-6','-6','1','1','1',1432,3.513
'11000407','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',178918,'2','1','1','1',793,1,-6,-6,-6,'-6','-6','-6','1','1','1',4,4.414
'11000429','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',-6,'-6','3','-6','-6',-6,1,-6,-6,118358,'-6','1','2','-6','3','2',175,6.791
'11000432','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',198548,'2','1','1','1',787,1,-6,-6,-6,'-6','-6','-6','1','1','1',1506,2.114
'11000450','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',191438,'2','1','2','2',-6,1,-6,-6,-6,'-6','-6','-6','1','1','2',2112,4.059
'11000454','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',324021,'2','1','1','1',1245,1,-6,-6,-6,'-6','-6','-6','1','1','1',2157,2.73
'11000455','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',37075,'-6','2','1','2',212,1,-6,-6,-6,'-6','-6','-6','1','1','2',399,3.896
'11000456','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',108085,'2','1','1','1',419,1,-6,-6,-6,'-6','-6','-6','1','1','1',782,3.087
'11000467','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',166955,'2','1','1','2',1076,1,-6,-6,-6,'-6','-6','-6','1','1','1',1334,6.568
'11000472','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',78389,'-6','2','1','1',463,1,-6,-6,-6,'-6','-6','-6','1','1','1',1128,6.099
'11000490','2','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',199272,'2','1','1','1',1680,1,-6,-6,-6,'-6','-6','-6','1','1','1',449,5.673
'11000499','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',51609,'1','1','1','2',523,1,24810,0,-6,'1','-6','-6','1','1','1',808,4.042
'11000524','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',157130,'2','1','1','1',915,1,-6,-6,-6,'-6','-6','-6','1','1','1',1489,6.396
'11000526','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',207213,'2','1','1','1',1761,1,-6,-6,-6,'-6','-6','-6','1','1','1',1320,8.89
'11000549','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',219101,'2','1','1','1',902,1,-6,-6,-6,'-6','-6','-6','1','1','1',1236,2.8
'11000560','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',281504,'-9','1','1','-9',1544,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1884,5.821
'11000562','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',115996,'1','1','1','1',607,1,-6,-6,-6,'2','-6','-6','1','1','1',786,4.166
'11000563','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',69959,'-9','1','1','-9',508,1,-6,-6,-6,'-6','-6','-6','-9','1','2',509,2.94
'11000569','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',210022,'-9','1','1','-9',1395,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1389,1.934
'11000573','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',342985,'-9','1','1','-9',1443,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1358,2.21
'11000586','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',289607,'1','1','1','1',1677,1,-6,-6,-6,'2','-6','-6','1','1','1',2240,2.379
'11000590','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',153871,'-9','1','1','-9',961,1,-6,-6,-6,'-6','-6','-6','-9','1','2',805,4.307
'11000593','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',70311,'2','1','1','1',395,1,-6,-6,-6,'-6','-6','-6','1','1','1',637,4.889
'11000596','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0',204852,'2','1','1','1',850,1,-6,-6,-6,'-6','-6','-6','1','1','1',1214,2.966
'11000597','2','0','0','0','2','0','0','0','1','2','1','1','0','3','0','0','0','0',264373,'-9','1','1','-9',1892,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1692,9.595
'11000603','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',352463,'2','1','2','2',1465,1,-6,-6,-6,'-6','-6','-6','1','1','1',1844,2.838
'11000623','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',191249,'2','1','1','1',885,1,-6,-6,-6,'-6','-6','-6','1','1','1',982,4.505
'11000628','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',304244,'2','1','1','1',1164,1,-6,-6,-6,'-6','-6','-6','1','1','1',2251,1.337
'11000630','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',394840,'1','1','1','1',2289,1,-6,-6,-6,'2','-6','-6','1','1','1',3605,3.321
'11000634','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',285223,'1','1','1','1',1153,1,-6,-6,-6,'2','-6','-6','1','1','1',2036,2.928
'11000646','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',-6,'-6','3','-6','-6',-6,1,-6,-6,62726,'-6','1','2','-6','3','2',374,8.903
'11000647','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',163070,'2','1','1','1',634,1,-6,-6,-6,'-6','-6','-6','1','1','1',999,2.922
'11000650','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',401835,'2','1','1','1',2856,1,-6,-6,-6,'-6','-6','-6','1','1','1',3624,3.698
'11000654','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',56971,'1','1','1','2',379,1,-6,-6,-6,'2','-6','-6','1','1','2',702,2.973
'11000662','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',416023,'1','1','1','1',2221,1,-6,-6,-6,'2','-6','-6','1','1','2',2937,3.615
'11000675','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',149089,'-9','1','1','-9',630,1,-6,-6,-6,'-6','-6','-6','-9','1','2',522,1.835
'11000677','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',218159,'1','1','1','1',950,1,-6,-6,-6,'2','-6','-6','1','1','1',1564,5.013
'11000677','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',-6,'-6','3','-6','-6',-6,2,-6,-6,74824,'-6','1','2','-6','3','2',108,9.247
'11000679','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',153054,'2','1','1','1',591,1,-6,-6,-6,'-6','-6','-6','1','1','1',1288,3.998
'11000680','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',61162,'1','1','1','2',292,1,-6,-6,-6,'2','-6','-6','1','1','2',273,3.324
'11000704','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',237898,'2','1','2','1',675,1,-6,-6,-6,'-6','-6','-6','2','1','1',1840,3.28
'11000706','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',192845,'1','1','1','1',1000,1,31418,31,-6,'1','-6','-6','1','1','1',1924,2.926
'11000715','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',197957,'-9','1','1','-9',836,1,-6,-6,-6,'-6','-6','-6','-9','1','2',749,3.321
'11000719','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',252432,'1','1','1','1',1649,1,-6,-6,-6,'2','-6','-6','1','1','2',1309,2.943
'11000728','0','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',140212,'2','1','1','2',676,1,-6,-6,-6,'-6','-6','-6','1','1','2',951,3.412
'11000733','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',213131,'2','1','1','1',907,1,-6,-6,-6,'-6','-6','-6','1','1','2',1267,2.983
'11000749','2','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0',214041,'1','1','1','2',1019,1,-6,-6,-6,'2','-6','-6','1','1','2',833,3.208
'11000753','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',460077,'2','1','1','1',2142,1,-6,-6,-6,'-6','-6','-6','1','1','1',3008,2.915
'11000755','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',284723,'1','1','1','1',1031,1,-6,-6,-6,'2','-6','-6','1','1','1',2439,2.644
'11000759','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',284969,'2','1','1','1',1246,1,-6,-6,-6,'-6','-6','-6','1','1','1',1568,2.9
'11000776','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',469048,'1','1','1','1',3928,1,6287,11,-6,'1','-6','-6','1','1','1',6847,2.913
'11000780','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',423470,'1','1','1','1',1825,1,-6,-6,-6,'2','-6','-6','1','1','1',2764,2.371
'11000781','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',549465,'2','1','2','1',3556,1,-6,-6,-6,'-6','-6','-6','1','1','1',1524,3.383
'11000781','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',-6,'-6','3','-6','-6',-6,2,-6,-6,174104,'-6','1','2','-6','3','2',1010,1.621
'11000792','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',490833,'2','1','2','1',4685,1,-6,-6,-6,'-6','-6','-6','1','1','1',2918,4.572
'11000796','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',615560,'1','1','1','1',3102,1,-6,-6,-6,'2','-6','-6','1','1','1',3571,4.078
'11000816','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',406573,'2','1','1','1',2118,1,-6,-6,-6,'-6','-6','-6','1','1','1',3156,5.044
'11000818','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',165345,'-9','1','1','-9',1168,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1102,3.2
'11000825','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',123094,'2','1','1','1',307,1,-6,-6,-6,'-6','-6','-6','2','1','1',838,4.217
'11000826','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',458348,'1','1','1','1',2024,1,-6,-6,-6,'2','-6','-6','1','1','1',3470,2.829
'11000830','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',483330,'2','1','1','1',3130,1,-6,-6,-6,'-6','-6','-6','1','1','1',2371,5.477
'11000843','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',586927,'2','1','1','1',2082,1,-6,-6,-6,'-6','-6','-6','1','1','1',2890,2.35
'11000844','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',806881,'2','1','1','1',3011,1,-6,-6,-6,'-6','-6','-6','1','1','2',5172,3.604
'11000845','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',353875,'1','1','1','2',1459,1,-6,-6,-6,'2','-6','-6','1','1','1',1592,4.95
'11000849','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',303513,'-9','1','1','2',1713,1,-6,-6,-6,'-6','-6','-6','1','1','2',1669,3.468
'11000853','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1',458124,'1','1','2','1',1483,1,-6,-6,-6,'2','-6','-6','1','1','2',2392,2.097
'11000853','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1',26649,'2','1','1','2',244,2,-6,-6,-6,'-6','-6','-6','1','2','2',279,3.032
'11000857','2','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0',158975,'1','1','1','1',720,1,-6,-6,-6,'2','-6','-6','1','1','1',861,2.698
'11000861','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',9942,'2','1','1','1',66,1,-6,-6,-6,'-6','-6','-6','1','1','1',3076,4.838
'11000876','2','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',188395,'2','1','1','1',1071,1,-6,-6,-6,'-6','-6','-6','1','1','1',1501,5.004
'11000885','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',131517,'1','1','1','1',801,1,-6,-6,-6,'2','-6','-6','1','1','1',1083,2.522
'11000887','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',595094,'1','1','1','2',2719,1,-6,-6,-6,'2','-6','-6','1','1','2',3350,3.944
'11000889','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',823303,'-9','1','1','-9',1845,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1906,2.75
'11000891','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',292683,'-9','1','1','-9',679,1,-6,-6,-6,'-6','-6','-6','-9','1','2',877,2.496
'11000905','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',226007,'1','1','1','1',1045,1,-6,-6,-6,'2','-6','-6','1','1','1',1431,3.932
'11000934','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',222049,'2','1','1','1',1079,1,-6,-6,-6,'-6','-6','-6','1','1','1',2066,4.097
'11000934','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',-6,'-6','3','-6','-6',-6,2,-6,-6,100085,'-6','2','2','-6','3','2',-6,9.5
'11000936','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',25206,'1','1','1','2',126,1,-6,-6,-6,'2','-6','-6','1','1','1',2332,3.224
'11000937','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0',118498,'2','1','1','2',561,1,-6,-6,-6,'-6','-6','-6','1','1','2',599,3.681
'11000942','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0',87405,'2','1','1','2',501,1,-6,-6,-6,'-6','-6','-6','1','1','2',495,7.736
'11000945','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',117152,'1','1','1','1',531,1,-6,-6,-6,'2','-6','-6','1','1','1',1524,3.376
'11000947','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',209384,'-9','1','1','-9',625,1,-6,-6,-6,'-6','-6','-6','-9','1','2',681,2.409
'11000953','2','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',26965,'1','1','1','1',164,1,-6,-6,-6,'2','-6','-6','1','1','1',5554,4.625
'11000967','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',288234,'1','1','1','1',1389,1,-9,98,-6,'1','-6','-6','1','1','1',2041,3.953
'11000967','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',-6,'-6','3','-6','-6',-6,2,-6,-6,289828,'-6','1','1','-6','3','2',1128,4.524
'11000971','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',297414,'1','1','1','1',2010,1,-6,-6,-6,'2','-6','-6','1','1','2',2946,2.63
'11000980','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',346936,'1','1','1','2',1596,1,-6,-6,-6,'2','-6','-6','1','1','2',2875,2.806
'11000982','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',833625,'2','1','1','2',3719,1,-6,-6,-6,'-6','-6','-6','1','1','2',3524,2.942
'11000991','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',1374793,'1','1','1','1',5318,1,-6,-6,-6,'2','-6','-6','1','1','1',8517,4.415
'11000995','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',213750,'1','1','1','1',1253,1,-9,25,-6,'1','-6','-6','1','1','1',1444,4.658
'11000996','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',393974,'2','1','2','2',1433,1,-6,-6,-6,'-6','-6','-6','1','1','2',1279,2.864
'11001000','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',101248,'1','1','1','1',678,1,102688,0,-6,'1','-6','-6','1','1','1',2223,3.734
'11001011','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',1171730,'1','1','1','-9',5055,1,-6,-6,-6,'2','-6','-6','-9','1','2',3881,2.573
'11001014','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',24354,'2','1','2','2',438,1,-6,-6,-6,'-6','-6','-6','1','1','2',799,1.108
'11001015','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',200454,'2','1','1','1',1450,1,-6,-6,-6,'-6','-6','-6','1','1','1',1904,3.438
'11001026','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0',515651,'2','1','1','1',2180,1,-6,-6,-6,'-6','-6','-6','1','1','2',4008,6.287
'11001046','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',334174,'1','1','1','1',1248,1,35687,100,-6,'1','-6','-6','2','1','2',1301,3.418
'11001075','0','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',104386,'2','1','1','1',958,1,-6,-6,-6,'-6','-6','-6','1','1','1',877,7.007
'11001078','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',341513,'1','1','1','1',1370,1,-6,-6,-6,'2','-6','-6','1','1','1',1936,2.724
'11001079','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',137561,'2','1','2','1',740,1,-6,-6,-6,'-6','-6','-6','1','1','1',926,4.119
'11001083','0','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',39285,'1','1','1','1',288,1,-6,-6,-6,'2','-6','-6','1','1','1',445,7.569
'11001096','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',100570,'1','1','1','1',480,1,42421,100,-6,'1','-6','-6','2','1','1',1231,6.764
'11001107','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',78876,'1','1','1','1',485,1,-6,-6,-6,'2','-6','-6','1','1','1',1388,5.861
'11001111','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',52744,'-9','1','1','-9',385,1,-6,-6,-6,'-6','-6','-6','-9','1','2',417,5.352
'11001114','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',108906,'1','1','1','1',915,1,-6,-6,-6,'2','-6','-6','1','1','1',1872,3.375
'11001116','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',-6,'-6','3','-6','-6',-6,1,-6,-6,85627,'-6','1','2','-6','3','2',155,5.879
'11001128','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',83534,'2','1','1','1',-6,1,-6,-6,-6,'-6','-6','-6','1','1','1',865,5.811
'11001134','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',269202,'2','1','1','2',1232,1,-6,-6,-6,'-6','-6','-6','1','1','1',1167,4.397
'11001137','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',137687,'1','1','1','1',965,1,-9,0,-6,'1','-6','-6','1','1','2',1371,2.427
'11001146','2','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0',76418,'1','1','1','1',1061,1,-6,-6,-6,'2','-6','-6','1','1','1',1404,3.961
'11001147','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',128850,'2','1','1','1',751,1,-6,-6,-6,'-6','-6','-6','1','1','1',1147,5.597
'11001149','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',235187,'2','1','1','1',1097,1,-6,-6,-6,'-6','-6','-6','1','1','1',1351,4.728
'11001165','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',158680,'2','1','1','1',723,1,-6,-6,-6,'-6','-6','-6','1','1','1',1907,3.856
'11001174','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',56556,'2','1','1','2',502,1,-6,-6,-6,'-6','-6','-6','1','1','1',504,5.659
'11001194','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',323278,'2','1','1','1',1280,1,-6,-6,-6,'-6','-6','-6','1','1','1',1699,2.502
